param,tag,value,TB_final,time_sec
alpha_S,LO,0.4,0.014009943562657732,1.4825657500005036
alpha_S,HI,1.2,0.00808715831238892,1.5095031249993554
mu_max,LO,0.0,0.007682147968155613,1.485577917000228
mu_max,HI,0.1,0.010314539882048458,1.475951874999737
lam,LO,0.05,0.006628657642896084,1.4764554160001353
lam,HI,0.5,0.01391063282546878,1.4807626660003734
sigma,LO,0.0,0.009096904865575687,1.4846887089997836
sigma,HI,0.1,0.00907771066392457,1.5464044580003247
