t,TB_pde,TB_pinn,TB_ode
0.0,0.04650810721224416,0.048254042863845825,0.04650810721224417
0.05,0.04501833471207338,0.04618467390537262,0.045755134491341456
0.1,0.04261581810827641,0.04420391097664833,0.0446132009855636
0.15000000000000002,0.04039007800369825,0.042311567813158035,0.04350676265418972
0.2,0.03831512148657902,0.04050679877400398,0.04243460776353921
0.25,0.03639118767845642,0.038788098841905594,0.041395567360373274
0.30000000000000004,0.0345961653139476,0.03715336322784424,0.04038851428181689
0.35000000000000003,0.03293035143458985,0.035599932074546814,0.039412363155358766
0.4,0.03137490647011424,0.034124672412872314,0.038466069239180126
0.45,0.02993016104254794,0.03272414952516556,0.037548626459324136
0.5,0.028580038707707308,0.031394656747579575,0.036659067327531866
0.55,0.02732488623021037,0.030132409185171127,0.035796457520612085
0.6000000000000001,0.026150965112262354,0.02893357165157795,0.03495989562922087
0.65,0.02505862591477505,0.02779442071914673,0.034148513157861625
0.7000000000000001,0.02403611175155418,0.02671135775744915,0.033361473961706
0.75,0.023083768389225427,0.02568097598850727,0.032597971742423404
0.8,0.02219152124635493,0.02470008283853531,0.03185723118174838
0.8500000000000001,0.02135970547094982,0.023765696212649345,0.031138503229589706
0.9,0.020579676862252153,0.022875038906931877,0.030441064535984202
0.9500000000000001,0.019851756156585198,0.022025523707270622,0.029764217451096756
1.0,0.01916851708724326,0.021214747801423073,0.0291072899735178
1.05,0.018530263669968284,0.02044050209224224,0.028469633544740233
1.1,0.017930608099324025,0.019700758159160614,0.027850624141499664
1.1500000000000001,0.01736983643795959,0.018993647769093513,0.027249659322073204
1.2000000000000002,0.016842447474058365,0.018317461013793945,0.026666156655885155
1.25,0.01634870885697702,0.01767062582075596,0.026099553723507
1.3,0.015883877260433398,0.01705167628824711,0.025549308116657357
1.35,0.015448202005987103,0.0164592657238245,0.02501489687085128
1.4000000000000001,0.015037588412819098,0.01589214988052845,0.02449581501110031
1.4500000000000002,0.014652267937277731,0.015349185094237328,0.023991576420609416
1.5,0.014288701698614908,0.014829326421022415,0.02350171075075536
1.55,0.01394710400258291,0.01433162484318018,0.023025763181781782
1.6,0.013624412753082557,0.01385520864278078,0.022563294422799217
1.6500000000000001,0.013320825979587881,0.013399289920926094,0.022113880711785078
1.7000000000000002,0.013033691040269333,0.012963133864104748,0.021677112896737454
1.75,0.012763190654645935,0.012546081095933914,0.021252596059624172
1.8,0.012507024192349147,0.01214752160012722,0.020839949424123122
1.85,0.012265360072107953,0.011766912415623665,0.020438804244311215
1.9000000000000001,0.012036200610655566,0.011403764598071575,0.02004880377896665
1.9500000000000002,0.011819700942709541,0.011057645082473755,0.01966960329156889
2.0,0.011614124376955458,0.010728170163929462,0.01930087005029872
2.0500000000000003,0.01141961376372355,0.010414998978376389,0.01894228254215613
2.1,0.011234657488479792,0.010117830708622932,0.018593530229765745
2.15,0.011059387082696909,0.009836399927735329,0.018254313572897526
2.2,0.010892485231300647,0.009570474736392498,0.01792434229147622
2.25,0.010734073067234923,0.009319855831563473,0.01760333534586941
2.3000000000000003,0.010583001173176449,0.009084356017410755,0.017291020936887468
2.35,0.01043938115188075,0.008863802999258041,0.01698713650578359
2.4000000000000004,0.01030220881274954,0.008658022619783878,0.016691428398197015
2.45,0.010171587041086774,0.008466830477118492,0.016403651052550875
2.5,0.01004663738629019,0.008290007710456848,0.016123567850200877
2.5500000000000003,0.009927454772031935,0.008127298206090927,0.015850949395403793
2.6,0.009813269721796707,0.007978386245667934,0.01558557337063417
2.6500000000000004,0.009704169896857984,0.007842879742383957,0.015327224536584316
2.7,0.009599480356079361,0.00772030558437109,0.015075694732164314
2.75,0.009499282142460038,0.0076100933365523815,0.014830782868859632
2.8000000000000003,0.009402982404061422,0.007511579897254705,0.014592294071649076
2.85,0.00931065615687639,0.007424010895192623,0.01436004026529955
2.9000000000000004,0.009221781899638624,0.007346559781581163,0.014133839550265436
2.95,0.00913642916249419,0.007278346456587315,0.013913515419323643
3.0,0.009054138521239537,0.007218461483716965,0.013698896757573626
3.0500000000000003,0.00897497451426205,0.007165997289121151,0.013489817842437366
3.1,0.008898531778673904,0.007120073772966862,0.013286118343659392
3.1500000000000004,0.008824870311294735,0.007079861126840115,0.01308764328612214
3.2,0.008753631875875785,0.007044596131891012,0.012894242245363941
3.25,0.008684872337164294,0.007013591472059488,0.012705770155881887
3.3000000000000003,0.008618274580842506,0.00698624225333333,0.012522086471775282
3.35,0.008553890711535835,0.006962020415812731,0.012343054729848611
3.4000000000000004,0.008491439532849582,0.006940474268049002,0.01216854254961152
3.45,0.008430969726739143,0.006921217776834965,0.011998421633278838
3.5,0.008372231500731374,0.00690392404794693,0.011832567765770553
3.5500000000000003,0.008315270419970117,0.006888318806886673,0.011670860813521537
3.6,0.00825986417703364,0.00687416922301054,0.011513184140484356
3.6500000000000004,0.008206055497261779,0.006861280184239149,0.011359425015671207
3.7,0.00815364615315526,0.006849486846476793,0.011209474379751807
3.75,0.008102676280973796,0.006838650442659855,0.011063226243158726
3.8000000000000003,0.008052968771868844,0.006828652694821358,0.01092057768608739
3.85,0.008004561399847527,0.006819393951445818,0.010781428858496079
3.9000000000000004,0.007957295597241067,0.006810788530856371,0.010645682980105924
3.95,0.007911206980942866,0.006802764255553484,0.010513246340400914
4.0,0.007866153279138309,0.006795257329940796,0.01038402820022417
4.05,0.007822168137089785,0.006788213271647692,0.010257940277658932
4.1000000000000005,0.007779123621189595,0.006781586911529303,0.010134897481482791
