t,TB_pde
0.0,0.04650810721224416
0.05,0.04501833471207338
0.1,0.04261581810827641
0.15000000000000002,0.04039007800369825
0.2,0.03831512148657902
0.25,0.03639118767845642
0.30000000000000004,0.0345961653139476
0.35000000000000003,0.03293035143458985
0.4,0.03137490647011424
0.45,0.02993016104254794
0.5,0.028580038707707308
0.55,0.02732488623021037
0.6000000000000001,0.026150965112262354
0.65,0.02505862591477505
0.7000000000000001,0.02403611175155418
0.75,0.023083768389225427
0.8,0.02219152124635493
0.8500000000000001,0.02135970547094982
0.9,0.020579676862252153
0.9500000000000001,0.019851756156585198
1.0,0.01916851708724326
1.05,0.018530263669968284
1.1,0.017930608099324025
1.1500000000000001,0.01736983643795959
1.2000000000000002,0.016842447474058365
1.25,0.01634870885697702
1.3,0.015883877260433398
1.35,0.015448202005987103
1.4000000000000001,0.015037588412819098
1.4500000000000002,0.014652267937277731
1.5,0.014288701698614908
1.55,0.01394710400258291
1.6,0.013624412753082557
1.6500000000000001,0.013320825979587881
1.7000000000000002,0.013033691040269333
1.75,0.012763190654645935
1.8,0.012507024192349147
1.85,0.012265360072107953
1.9000000000000001,0.012036200610655566
1.9500000000000002,0.011819700942709541
2.0,0.011614124376955458
2.0500000000000003,0.01141961376372355
2.1,0.011234657488479792
2.15,0.011059387082696909
2.2,0.010892485231300647
2.25,0.010734073067234923
2.3000000000000003,0.010583001173176449
2.35,0.01043938115188075
2.4000000000000004,0.01030220881274954
2.45,0.010171587041086774
2.5,0.01004663738629019
2.5500000000000003,0.009927454772031935
2.6,0.009813269721796707
2.6500000000000004,0.009704169896857984
2.7,0.009599480356079361
2.75,0.009499282142460038
2.8000000000000003,0.009402982404061422
2.85,0.00931065615687639
2.9000000000000004,0.009221781899638624
2.95,0.00913642916249419
3.0,0.009054138521239537
3.0500000000000003,0.00897497451426205
3.1,0.008898531778673904
3.1500000000000004,0.008824870311294735
3.2,0.008753631875875785
3.25,0.008684872337164294
3.3000000000000003,0.008618274580842506
3.35,0.008553890711535835
3.4000000000000004,0.008491439532849582
3.45,0.008430969726739143
3.5,0.008372231500731374
3.5500000000000003,0.008315270419970117
3.6,0.00825986417703364
3.6500000000000004,0.008206055497261779
3.7,0.00815364615315526
3.75,0.008102676280973796
3.8000000000000003,0.008052968771868844
3.85,0.008004561399847527
3.9000000000000004,0.007957295597241067
3.95,0.007911206980942866
4.0,0.007866153279138309
4.05,0.007822168137089785
4.1000000000000005,0.007779123621189595
4.15,0.00773705157275968
4.2,0.007695836688119406
4.25,0.007655509156252743
4.3,0.00761596481145935
4.3500000000000005,0.007577232327453259
4.4,0.007539217372393061
4.45,0.007501947228669625
4.5,0.007465336257383402
4.55,0.007429410461710568
4.6000000000000005,0.007394091896699272
4.65,0.007359405387743855
4.7,0.007325279808359732
4.75,0.007291738897968894
4.800000000000001,0.007258717580650213
4.8500000000000005,0.0072262385929905
4.9,0.007194242235497249
4.95,0.0071627503172456315
5.0,0.0071317079228339735
5.050000000000001,0.007067372939833962
5.1000000000000005,0.00698229793118454
5.15,0.006899495028106364
5.2,0.006818643621267861
5.25,0.00673976653747697
5.300000000000001,0.006662596798736408
5.3500000000000005,0.006587165888736407
5.4,0.006513248450275617
5.45,0.006440882033893609
5.5,0.0063698737679928254
5.550000000000001,0.006300265343295771
5.6000000000000005,0.006231889408339599
5.65,0.006164790362155448
5.7,0.006098821048231173
5.75,0.006034027511528666
5.800000000000001,0.005970278707654784
5.8500000000000005,0.005907621541349671
5.9,0.005845937940252068
5.95,0.005785275089417676
6.0,0.005749305390212006
