method,budget,rmse_obs,rmse_fwd,rmse_bwd,mae_obs,mae_fwd,mae_bwd
ABC,small,0.002252735919669846,0.0008887183288195082,0.0028949241808366374,0.0017607560700311443,0.0008142120411720746,0.0026250702649702807
ABC,medium,0.0019974211343748755,0.001669399742528883,0.0027199816441855393,0.001554125351768459,0.001635842545031727,0.002470586634033865
ABC,large,0.002011101712051794,0.002071614384414171,0.0028023175234111646,0.0016149243437396988,0.002044821705440931,0.0025486145080313347
3D-Var,small,0.001893499434317607,0.003002027829863064,0.0026223453697322052,0.0016135775684141434,0.0029775041645429537,0.002389547184433168
3D-Var,medium,0.001893499434317607,0.003002027829863064,0.0026223453697322052,0.0016135775684141434,0.0029775041645429537,0.002389547184433168
3D-Var,large,0.001893499434317607,0.003002027829863064,0.0026223453697322052,0.0016135775684141434,0.0029775041645429537,0.002389547184433168
